train/mean_ep_reward,stability/std_episode_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/std_ep_reward,stability/avg_episode_reward,train/mean_ep_length,eval/success_rate,timesteps,rollout/success_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/learning_rate
-2.0376781999999998,0.19392985213824096,50.0,72704,-1.75,0.19392985213824096,-2.0376781999999998,50.0,1.0,72704,,,,,,,,,,,,,,,,,
-2.0218640999999997,0.21825614780411115,50.0,73728,-1.8,0.21825614780411115,-2.0218640999999997,50.0,1.0,73728,,,,,,,,,,,,,,,,,
,,,73728,,,,,,,0.8500000238418579,50.0,179,-1.9977689800000002,18,410,,,,,,,,,,,
-1.8410985,0.13578661925186147,50.0,74752,-1.8,0.13578661925186147,-1.8410985,50.0,1.0,74752,,,,,,,0.9636986255645752,-0.01373576123296516,-5.532046966254711,0.25969040393829346,0.008374532975722104,0.12689208984375,0.011266362,0.2,-0.056869473308324814,72,0.0001
-1.9599418,0.12666579804809186,50.0,75776,-1.6,0.12666579804809186,-1.9599418,50.0,1.0,75776,,,,,,,,,,,,,,,,,
-1.9720126,0.09610087841346716,50.0,76800,-1.55,0.09610087841346716,-1.9720126,50.0,1.0,76800,,,,,,,,,,,,,,,,,
-1.9131822999999997,0.1713908502575619,50.0,77824,-1.8,0.1713908502575619,-1.9131822999999997,50.0,1.0,77824,,,,,,,,,,,,,,,,,
,,,77824,,,,,,,0.800000011920929,50.0,181,-1.91914994,19,429,,,,,,,,,,,
-1.8004974,0.22204933941410407,50.0,78848,-1.6,0.22204933941410407,-1.8004974,50.0,1.0,78848,,,,,,,0.9605461955070496,-0.00903143391769845,-5.519008152186871,0.3047245740890503,0.007480184103769716,0.09503173828125,0.0085397,0.2,-0.04860806465148926,76,0.0001
-1.8266672999999998,0.18034553718295887,50.0,79872,-1.45,0.18034553718295887,-1.8266672999999998,50.0,1.0,79872,,,,,,,,,,,,,,,,,
-1.8147231000000001,0.15431273672931214,50.0,80896,-1.9,0.15431273672931214,-1.8147231000000001,50.0,1.0,80896,,,,,,,,,,,,,,,,,
-1.9977299,0.18279190739387238,50.0,81920,-1.8,0.18279190739387238,-1.9977299,50.0,1.0,81920,,,,,,,,,,,,,,,,,
,,,81920,,,,,,,0.8399999737739563,50.0,177,-1.8701077199999998,20,461,,,,,,,,,,,
